HomerSampleID,Year,Agency,FisheryName,Species,Source,StatWeek,StatArea,SubDistrict,AStreamCode,Stock,Harvest,SampleDate,Gear,SurveySite,Rcvd,Preps,NotMarked,Marked, LCI,PWS,KOD,Other,TUTKA16PINK,TUTKA16PINKA,TUTKA17PINK,TUTKA17PINKA,TUTKA18PINK,TUTKA18PINKA,TUTKA18PINKB,TUTKA18PINKC,TUTKA19PINK,TUTKA19PINKA,TUTKA19PINKB,TUTKA20PINKB,PORTGRAHAM16,PORTGRAHAM17,PORTGRAHAM17A,PORTGRAHAM18,PORTGRAHAM19,PORTGRAHAM20,AFK16B,AFK17B,AFK18B,AFK19B,AFK20A,AFK20B,CCH16,CCH17,CCH18,CCH19,CCH20,CCH20A,SGH16,SGH17,SGH18,SGH19,SGH20,WNH16PINKB,WNH17PINKB,WNH18PINKB,WNH19PINKB,WNH20PINKB,KITOI17PINK,KITOI18PINK,KITOI19PINK
21PSD049P,2021,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,30,24106,Tutka Bay Subdistrict,,,TRADITIONAL,7/19/2021,PURSE SEINE,HOMER,83,83,7,76,74,2,0,0,,,,,,,,,46,14,14,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
21GMX046P,2021,ADFG,Southern (Lower Cook Inlet) Set Gillnet,PINK,COMMERCIAL COM PROP,29,241061718,Iniskin Bay Subdistrict,,,TRADITIONAL,7/17/2021,SET GILLNET,HOMER,96,95,35,60,1,59,0,0,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,58,,,,,,,,,
21PSD044P,2021,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,29,24106,Tutka Bay Subdistrict,,,TRADITIONAL,7/16/2021,PURSE SEINE,HOMER,96,94,17,77,76,1,0,0,,,,,,,,,53,16,7,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
21GMX039P,2021,ADFG,Southern (Lower Cook Inlet) Set Gillnet,PINK,COMMERCIAL COM PROP,29,241061718,Iniskin Bay Subdistrict,,,TRADITIONAL,7/14/2021,SET GILLNET,HOMER,18,18,8,10,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
21GMX041P,2021,ADFG,Southern (Lower Cook Inlet) Set Gillnet,PINK,COMMERCIAL COM PROP,29,241061718,Iniskin Bay Subdistrict,,,TRADITIONAL,7/14/2021,SET GILLNET,HOMER,96,95,34,61,4,57,0,0,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,
21GMX034P,2021,ADFG,Southern (Lower Cook Inlet) Set Gillnet,PINK,COMMERCIAL COM PROP,28,241061718,Iniskin Bay Subdistrict,,,TRADITIONAL,7/10/2021,SET GILLNET,HOMER,96,96,76,20,7,13,0,0,,,,,,,,,6,,1,,,,,,,,,,,1,,,,,,,,,,,,12,,,,,,,,,
21GMX023P,2021,ADFG,Southern (Lower Cook Inlet) Set Gillnet,PINK,COMMERCIAL COM PROP,28,241061718,Iniskin Bay Subdistrict,,,TRADITIONAL,7/7/2021,SET GILLNET,HOMER,13,13,12,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
21GMX027P,2021,ADFG,Southern (Lower Cook Inlet) Set Gillnet,PINK,COMMERCIAL COM PROP,28,241061718,Iniskin Bay Subdistrict,,,TRADITIONAL,7/7/2021,SET GILLNET,HOMER,96,96,61,35,7,28,0,0,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,
21GMX022P,2021,ADFG,Southern (Lower Cook Inlet) Set Gillnet,PINK,COMMERCIAL COM PROP,27,241061718,Iniskin Bay Subdistrict,,,TRADITIONAL,7/2/2021,SET GILLNET,HOMER,96,95,70,25,2,23,0,0,,,,,,,,,1,,1,,,,,,,,,,,2,,,,,,,,,,,,21,,,,,,,,,
20HMS124P,2020,ADFG,,PINK,ESCAPEMENT SURVEY,38,24120,Port Graham Section,241-20-10550,Port Graham River,,9/16/2020,NOT REQUIRED,HOMER,84,83,45,38,35,2,1,0,,,,,,,,,,,,,,,,35,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,
20HMO123P,2020,ADFG,,PINK,ESCAPEMENT SURVEY,38,23201,Koyuktolik (Dogfish) Subdistrict,241-40-10300,Dogfish Lagoon Creeks,,9/14/2020,NOT REQUIRED,HOMER,96,95,28,67,17,50,0,0,,,,,4,1,7,,,,,,,,,5,,,,,22,,,,,,8,,,,,,1,,,,,19,,,,,
20HMS122P,2020,ADFG,,PINK,ESCAPEMENT SURVEY,37,24118,Barabara Creek Subdistrict,241-11-10800,Barabara Creek,,9/11/2020,NOT REQUIRED,HOMER,96,95,78,17,6,11,0,0,,,,,,,1,,,,,,,,,5,,,,,5,,,,,,1,,,,,,,,,,,5,,,,,
20HMS121P,2020,ADFG,,PINK,ESCAPEMENT SURVEY,37,24107,Tutka Bay Subdistrict,241-16-10090,Tutka Creek,,9/10/2020,NOT REQUIRED,HOMER,96,96,0,96,95,1,0,0,,,,,38,30,27,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
20HMS120P,2020,ADFG,,PINK,ESCAPEMENT SURVEY,37,24192,China Poot SHA,241-15-10370,China Poot Creek,,9/10/2020,NOT REQUIRED,HOMER,9,8,8,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20HMS119P,2020,ADFG,,PINK,ESCAPEMENT SURVEY,37,24117,Seldovia Bay Subdistrict,241-11-10730,Seldovia River,,9/8/2020,NOT REQUIRED,HOMER,96,94,59,35,27,8,0,0,,,,,,,4,2,,,,,,,,21,,,,,3,,,,,,3,,,,,,,,,,,2,,,,,
20HMS118P,2020,ADFG,,PINK,ESCAPEMENT SURVEY,36,24118,Barabara Creek Subdistrict,241-11-10800,Barabara Creek,,9/3/2020,NOT REQUIRED,HOMER,96,93,50,43,9,34,0,0,,,,,2,1,1,4,,,,,,,,1,,,,,10,,,,,,5,,,,,,5,,,,,14,,,,,
20HMS117P,2020,ADFG,,PINK,ESCAPEMENT SURVEY,36,24107,Tutka Bay Subdistrict,241-16-10090,Tutka Creek,,9/2/2020,NOT REQUIRED,HOMER,96,94,1,93,91,2,0,0,,,,,50,15,17,9,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,
20HMO113P,2020,ADFG,,PINK,ESCAPEMENT SURVEY,36,23211,Port Dick Head End Section,242-42-10460,Port Dick Creek,,9/1/2020,NOT REQUIRED,HOMER,96,94,94,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20HMS116P,2020,ADFG,,PINK,ESCAPEMENT SURVEY,35,24130,English Bay Section,241-30-10500,English Bay Lakes,,8/28/2020,NOT REQUIRED,HOMER,96,96,68,28,2,26,0,0,,,,,,1,1,,,,,,,,,,,,,,10,,,,,,2,,,,,,7,,,,,7,,,,,
20HMO115P,2020,ADFG,,PINK,ESCAPEMENT SURVEY,35,23201,Koyuktolik (Dogfish) Subdistrict,241-40-10300,Dogfish Lagoon Creeks,,8/27/2020,NOT REQUIRED,HOMER,96,91,81,10,4,6,0,0,,,,,,,2,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,4,,,,,
20HMO114P,2020,ADFG,,PINK,ESCAPEMENT SURVEY,35,23202,Port Chatham Subdistrict,242-10-10220,Port Chatham Creeks,,8/26/2020,NOT REQUIRED,HOMER,96,95,81,14,13,1,0,0,,,,,,,,,,,,,,,,13,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20HMS112P,2020,ADFG,,PINK,ESCAPEMENT SURVEY,35,24120,Port Graham Section,241-20-10550,Port Graham River,,8/25/2020,NOT REQUIRED,HOMER,96,96,90,6,5,1,0,0,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,
20HMS111P,2020,ADFG,,PINK,ESCAPEMENT SURVEY,35,24107,Tutka Bay Subdistrict,241-16-10090,Tutka Creek,,8/24/2020,NOT REQUIRED,HOMER,96,96,1,95,95,0,0,0,,,,,34,9,36,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20HMO110P,2020,ADFG,,PINK,ESCAPEMENT SURVEY,34,23213,Port Dick Island Creek Section,242-42-10430,Island Creek,,8/21/2020,NOT REQUIRED,HOMER,96,94,93,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20HMS109P,2020,ADFG,,PINK,ESCAPEMENT SURVEY,34,24117,Seldovia Bay Subdistrict,241-11-10730,Seldovia River,,8/20/2020,NOT REQUIRED,HOMER,96,95,92,3,3,0,0,0,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
20HMS108P,2020,ADFG,,PINK,ESCAPEMENT SURVEY,34,24118,Barabara Creek Subdistrict,241-11-10800,Barabara Creek,,8/19/2020,NOT REQUIRED,HOMER,96,94,92,2,1,1,0,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
20PSD076P,2020,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,34,24120,Port Graham Section,,,TRADITIONAL,8/17/2020,PURSE SEINE,HOMER,57,57,5,52,52,0,0,0,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
20PSD077P,2020,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,34,24120,Port Graham Section,,,TRADITIONAL,8/17/2020,PURSE SEINE,HOMER,94,93,39,54,54,0,0,0,,,,,1,,1,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
20HMO107P,2020,ADFG,,PINK,ESCAPEMENT SURVEY,34,23202,Port Chatham Subdistrict,242-10-10220,Port Chatham Creeks,,8/17/2020,NOT REQUIRED,HOMER,96,95,90,5,3,2,0,0,,,,,,,,,,,,,,,,3,,,,,1,,,,,,1,,,,,,,,,,,,,,,,
20PSD075P,2020,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,33,24107,Tutka Bay Subdistrict,,,TRADITIONAL,8/14/2020,PURSE SEINE,HOMER,96,96,22,74,73,1,0,0,,,,,31,12,21,3,,,,,,,,6,,,,,,,,,,,1,,,,,,,,,,,,,,,,
20HMO106P,2020,ADFG,,PINK,ESCAPEMENT SURVEY,33,23211,Port Dick Head End Section,242-42-10460,Port Dick Creek,,8/14/2020,NOT REQUIRED,HOMER,96,94,94,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20HMS105P,2020,ADFG,,PINK,ESCAPEMENT SURVEY,33,24117,Seldovia Bay Subdistrict,241-11-10730,Seldovia River,,8/13/2020,NOT REQUIRED,HOMER,96,89,87,2,1,1,0,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
20HMO104P,2020,ADFG,,PINK,ESCAPEMENT SURVEY,33,23201,Koyuktolik (Dogfish) Subdistrict,241-40-10300,Dogfish Lagoon Creeks,,8/12/2020,NOT REQUIRED,HOMER,54,52,48,4,1,3,0,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,
20HMS103P,2020,ADFG,,PINK,ESCAPEMENT SURVEY,33,24120,Port Graham Section,241-20-10550,Port Graham River,,8/11/2020,NOT REQUIRED,HOMER,96,94,94,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20PSD074P,2020,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,33,24107,Tutka Bay Subdistrict,,,TRADITIONAL,8/10/2020,PURSE SEINE,HOMER,94,93,14,79,78,1,0,0,,,,,43,17,10,7,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
20PSD072P,2020,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,32,24106,Tutka Bay Subdistrict,,,TRADITIONAL,8/7/2020,PURSE SEINE,HOMER,84,83,7,76,75,1,0,0,,,,,42,9,18,5,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
20PSD073P,2020,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,32,24107,Tutka Bay Subdistrict,,,TRADITIONAL,8/7/2020,PURSE SEINE,HOMER,96,95,7,88,87,1,0,0,,,,,49,22,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
20HMO102P,2020,ADFG,,PINK,ESCAPEMENT SURVEY,32,24116,Halibut Cove Subdistrict,242-10-10220,Port Chatham Creeks,,8/7/2020,NOT REQUIRED,HOMER,18,18,18,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20HMO101P,2020,ADFG,,PINK,ESCAPEMENT SURVEY,32,24116,Halibut Cove Subdistrict,242-42-10460,Port Dick Creek,,8/4/2020,NOT REQUIRED,HOMER,45,44,44,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20PSD069P,2020,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,32,24106,Tutka Bay Subdistrict,,,TRADITIONAL,8/3/2020,PURSE SEINE,HOMER,96,94,4,90,90,0,0,0,,,,,48,19,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20HMS100P,2020,ADFG,,PINK,ESCAPEMENT SURVEY,32,24118,Barabara Creek Subdistrict,241-11-10800,Barabara Creek,,8/3/2020,NOT REQUIRED,HOMER,36,36,36,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20PSD066P,2020,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,31,24107,Tutka Bay Subdistrict,,,TRADITIONAL,7/31/2020,PURSE SEINE,HOMER,64,63,4,59,59,0,0,0,,,,,36,10,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20PSD067P,2020,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,31,24107,Tutka Bay Subdistrict,,,TRADITIONAL,7/31/2020,PURSE SEINE,HOMER,49,49,3,46,46,0,0,0,,,,,20,7,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20GMX061P,2020,ADFG,Southern (Lower Cook Inlet) Set Gillnet,PINK,COMMERCIAL COM PROP,31,241061718,Iniskin Bay Subdistrict,,,TRADITIONAL,7/29/2020,SET GILLNET,HOMER,96,92,26,66,63,3,0,0,,,,,38,4,9,3,,,,,,,,9,,,,,,,,,,,,,,,,,2,,,,,1,,,,,
20GBT065P,2020,ADFG,Southern (Lower Cook Inlet) Set Gillnet,PINK,COMMERCIAL COM PROP,31,2410618,Iniskin Bay Subdistrict,,,TRADITIONAL,7/29/2020,SET GILLNET,HOMER,96,95,34,61,59,1,1,0,,,,,28,,18,5,,,,,,,,8,,,,,,,,,,,,,,,,,1,,,,,,,,,1,
20PSD060P,2020,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,31,24107,Tutka Bay Subdistrict,,,TRADITIONAL,7/27/2020,PURSE SEINE,HOMER,96,95,11,84,84,0,0,0,,,,,46,6,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20PSD057P,2020,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,30,24106,Tutka Bay Subdistrict,,,TRADITIONAL,7/24/2020,PURSE SEINE,HOMER,52,50,0,50,48,2,0,0,,,,,14,13,15,6,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
20PSD058P,2020,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,30,24106,Tutka Bay Subdistrict,,,TRADITIONAL,7/24/2020,PURSE SEINE,HOMER,59,58,0,58,57,1,0,0,,,,,26,14,10,7,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
20GBT050P,2020,ADFG,Southern (Lower Cook Inlet) Set Gillnet,PINK,COMMERCIAL COM PROP,30,241061718,Iniskin Bay Subdistrict,,,TRADITIONAL,7/22/2020,SET GILLNET,HOMER,82,81,48,33,27,6,0,0,,,,,12,1,5,2,,,,,,,,7,,,,,,,,,,,,,,,,,6,,,,,,,,,,
20GMX053P,2020,ADFG,Southern (Lower Cook Inlet) Set Gillnet,PINK,COMMERCIAL COM PROP,30,2410618,Iniskin Bay Subdistrict,,,TRADITIONAL,7/22/2020,SET GILLNET,HOMER,96,95,51,44,34,10,0,0,,,,,10,3,8,4,,,,,,,,9,,,,,,,,,,,1,,,,,,9,,,,,,,,,,
20GMX055P,2020,ADFG,Southern (Lower Cook Inlet) Set Gillnet,PINK,COMMERCIAL COM PROP,30,2410618,Iniskin Bay Subdistrict,,,TRADITIONAL,7/22/2020,SET GILLNET,HOMER,96,94,52,42,28,14,0,0,,,,,6,2,11,2,,,,,,,,7,,,,,,,,,,,,,,,,,13,,,,,1,,,,,
20PSD048P,2020,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,30,24191,Neptune Bay Section,,,TRADITIONAL,7/20/2020,PURSE SEINE,HOMER,33,31,6,25,25,0,0,0,,,,,15,2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20PSD046P,2020,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,30,24191,Neptune Bay Section,,,TRADITIONAL,7/20/2020,PURSE SEINE,HOMER,21,20,4,16,16,0,0,0,,,,,9,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20PSD042P,2020,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,29,24106,Tutka Bay Subdistrict,,,TRADITIONAL,7/17/2020,PURSE SEINE,HOMER,37,36,1,35,35,0,0,0,,,,,22,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20PSD043P,2020,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,29,24106,Tutka Bay Subdistrict,,,TRADITIONAL,7/17/2020,PURSE SEINE,HOMER,9,9,2,7,7,0,0,0,,,,,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20PSD044P,2020,ADFG,Southern (Lower Cook Inlet) Purse Seine,PINK,COMMERCIAL COM PROP,29,24191,Neptune Bay Section,,,TRADITIONAL,7/17/2020,PURSE SEINE,HOMER,6,6,1,5,5,0,0,0,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20GMX037P,2020,ADFG,Southern (Lower Cook Inlet) Set Gillnet,PINK,COMMERCIAL COM PROP,29,241061718,Iniskin Bay Subdistrict,,,TRADITIONAL,7/15/2020,SET GILLNET,HOMER,96,95,23,72,66,6,0,0,,,,,18,6,30,12,,,,,,,,,,,,,1,,,,,,2,,,,,,3,,,,,,,,,,
20GMX038P,2020,ADFG,Southern (Lower Cook Inlet) Set Gillnet,PINK,COMMERCIAL COM PROP,29,2410618,Iniskin Bay Subdistrict,,,TRADITIONAL,7/15/2020,SET GILLNET,HOMER,72,71,15,56,56,0,0,0,,,,,17,1,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20GBT027P,2020,ADFG,Southern (Lower Cook Inlet) Set Gillnet,PINK,COMMERCIAL COM PROP,28,241061718,Iniskin Bay Subdistrict,,,TRADITIONAL,7/8/2020,SET GILLNET,HOMER,96,93,37,56,33,23,0,0,,,,,7,1,18,7,,,,,,,,,,,,,1,,,,,,,,,,,,22,,,,,,,,,,
20GMX028P,2020,ADFG,Southern (Lower Cook Inlet) Set Gillnet,PINK,COMMERCIAL COM PROP,28,2410618,Iniskin Bay Subdistrict,,,TRADITIONAL,7/8/2020,SET GILLNET,HOMER,53,50,33,17,4,13,0,0,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,
19HMS165P,2019,ADFG,,PINK,ESCAPEMENT SURVEY,39,24130,English Bay Section,241-30-10500,English Bay Lakes,,9/24/2019,NOT REQUIRED,HOMER,132,132,129,3,2,1,0,0,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
19HMS162P,2019,ADFG,,PINK,ESCAPEMENT SURVEY,39,24192,China Poot SHA,241-15-10370,China Poot Creek,,9/23/2019,NOT REQUIRED,HOMER,76,73,72,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
19HMS160P,2019,ADFG,,PINK,ESCAPEMENT SURVEY,37,24120,Port Graham Section,241-20-10550,Port Graham River,,9/13/2019,NOT REQUIRED,HOMER,140,140,120,20,13,7,0,0,,,,,,,,,,,,,,13,,,,,,1,,,,,,3,,,,,,,,,,,3,,,,,,
19HMO157P,2019,ADFG,,PINK,ESCAPEMENT SURVEY,37,23201,Koyuktolik (Dogfish) Subdistrict,241-40-10320,Dogfish Lagoon Creeks,,9/11/2019,NOT REQUIRED,HOMER,55,53,36,17,1,16,0,0,,,,,,,,,,,,,,1,,,,,,3,,,,,,10,,,,,,1,,,,,2,,,,,,
19HMO158P,2019,ADFG,,PINK,ESCAPEMENT SURVEY,37,23201,Koyuktolik (Dogfish) Subdistrict,241-40-10325,Dogfish Lagoon Creeks,,9/11/2019,NOT REQUIRED,HOMER,55,55,36,19,0,19,0,0,,,,,,,,,,,,,,,,,,,,12,,,,,,3,,,,,,,,,,,4,,,,,,
19HMO159P,2019,ADFG,,PINK,ESCAPEMENT SURVEY,37,23201,Koyuktolik (Dogfish) Subdistrict,241-40-10300,Dogfish Lagoon Creeks,,9/11/2019,NOT REQUIRED,HOMER,55,55,39,16,2,14,0,0,,,,,,,,,,,,,,2,,,,,,6,,,,,,4,,,,,,,,,,,4,,,,,,
19HMS163P,2019,ADFG,,PINK,ESCAPEMENT SURVEY,37,24130,English Bay Section,241-30-10500,English Bay Lakes,,9/11/2019,NOT REQUIRED,HOMER,144,140,113,27,2,23,2,0,,,,,,,,,,,,,,2,,,,,,7,,,,,,7,,,,,,,,,,,9,,,,2,,
19HMS155P,2019,ADFG,,PINK,ESCAPEMENT SURVEY,37,24117,Seldovia Bay Subdistrict,241-11-10730,Seldovia River,,9/10/2019,NOT REQUIRED,HOMER,141,140,109,31,10,21,0,0,,,,,,,,,,,,,,10,,,,,,6,,,,,,11,,,,,,,,,,,4,,,,,,
19HMS151P,2019,ADFG,,PINK,ESCAPEMENT SURVEY,37,24107,Tutka Bay Subdistrict,241-16-10090,Tutka Creek,,9/9/2019,NOT REQUIRED,HOMER,136,135,31,104,98,6,0,0,,,80,17,,,,,,,,,,1,,,,,,1,,,,,,2,,,,,,,,,,,3,,,,,,
19HMS153P,2019,ADFG,,PINK,ESCAPEMENT SURVEY,37,24192,China Poot SHA,241-15-10370,China Poot Creek,,9/9/2019,NOT REQUIRED,HOMER,120,120,119,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
19HMS149P,2019,ADFG,,PINK,ESCAPEMENT SURVEY,36,24114,Humpy Creek Subdistrict,241-14-10510,Humpy Creek,,9/6/2019,NOT REQUIRED,HOMER,138,136,133,3,0,3,0,0,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,
19HMO147P,2019,ADFG,,PINK,ESCAPEMENT SURVEY,36,23213,Port Dick Island Creek Section,242-42-10430,Island Creek,,9/5/2019,NOT REQUIRED,HOMER,142,142,108,34,0,34,0,0,,,,,,,,,,,,,,,,,,,,21,,,,,,8,,,,,,,,,,,5,,,,,,
19HMS145P,2019,ADFG,,PINK,ESCAPEMENT SURVEY,36,24117,Seldovia Bay Subdistrict,241-11-10730,Seldovia River,,9/4/2019,NOT REQUIRED,HOMER,135,130,105,25,9,16,0,0,,,3,1,,,,,,,,,,5,,,,,,6,,,,,,7,,,,,,1,,,,,2,,,,,,
19HMS143P,2019,ADFG,,PINK,ESCAPEMENT SURVEY,36,24118,Barabara Creek Subdistrict,241-11-10800,Barabara Creek,,9/3/2019,NOT REQUIRED,HOMER,135,134,98,36,4,32,0,0,,,2,1,,,,,,,,,,1,,,,,,20,,,,,,4,,,,,,6,,,,,2,,,,,,
19HMO140P,2019,ADFG,,PINK,ESCAPEMENT SURVEY,35,23213,Port Dick Island Creek Section,242-42-10430,Island Creek,,8/30/2019,NOT REQUIRED,HOMER,141,139,122,17,0,17,0,0,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,12,,,,,1,,,,,,
19HMS142P,2019,ADFG,,PINK,ESCAPEMENT SURVEY,35,24192,China Poot SHA,241-15-10370,China Poot Creek,,8/30/2019,NOT REQUIRED,HOMER,11,11,9,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
19HMO134P,2019,ADFG,,PINK,ESCAPEMENT SURVEY,35,23202,Port Chatham Subdistrict,242-10-10230,Port Chatham Creeks,,8/29/2019,NOT REQUIRED,HOMER,36,35,32,3,0,3,0,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,
19HMO135P,2019,ADFG,,PINK,ESCAPEMENT SURVEY,35,23202,Port Chatham Subdistrict,242-10-10240,Port Chatham Creeks,,8/29/2019,NOT REQUIRED,HOMER,36,36,31,5,1,4,0,0,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,
19HMO136P,2019,ADFG,,PINK,ESCAPEMENT SURVEY,35,23202,Port Chatham Subdistrict,242-10-10250,Port Chatham Creeks,,8/29/2019,NOT REQUIRED,HOMER,36,36,32,4,0,4,0,0,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,1,,,,,,,,,,,
19HMO137P,2019,ADFG,,PINK,ESCAPEMENT SURVEY,35,23202,Port Chatham Subdistrict,242-10-10220,Port Chatham Creeks,,8/29/2019,NOT REQUIRED,HOMER,36,36,34,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,
19HMS138P,2019,ADFG,,PINK,ESCAPEMENT SURVEY,35,24130,English Bay Section,241-30-10500,English Bay Lakes,,8/29/2019,NOT REQUIRED,HOMER,144,135,100,35,1,34,0,0,,,,,,,,,,,,,,1,,,,,,18,,,,,,5,,,,,,5,,,,,6,,,,,,
19HMO130P,2019,ADFG,,PINK,ESCAPEMENT SURVEY,35,23201,Koyuktolik (Dogfish) Subdistrict,241-40-10320,Dogfish Lagoon Creeks,,8/28/2019,NOT REQUIRED,HOMER,48,48,30,18,4,14,0,0,,,1,1,,,,,,,,,,2,,,,,,5,,,,,,2,,,,,,4,,,,,3,,,,,,
19HMO131P,2019,ADFG,,PINK,ESCAPEMENT SURVEY,35,23201,Koyuktolik (Dogfish) Subdistrict,241-40-10325,Dogfish Lagoon Creeks,,8/28/2019,NOT REQUIRED,HOMER,48,47,28,19,3,16,0,0,,,1,,,,,,,,,,,2,,,,,,8,,,,,,,,,,,,7,,,,,1,,,,,,
